fecha,precio_alquiler_eur_m2,coste_salarial_ordinario_eur
2006-01,10.15,1407.96
2006-02,10.15,1407.96
2006-03,9.95,1407.96
2006-04,9.95,1418.81
2006-05,9.95,1418.81
2006-06,10.25,1418.81
2006-07,10.05,1439.32
2006-08,9.85,1439.32
2006-09,9.65,1439.32
2006-10,9.45,1444.56
2006-11,9.45,1444.56
2006-12,9.25,1444.56
2007-01,9.25,1468.04
2007-02,9.15,1468.04
2007-03,9.25,1468.04
2007-04,9.35,1476.28
2007-05,9.35,1476.28
2007-06,9.35,1476.28
2007-07,9.35,1501.04
2007-08,9.25,1501.04
2007-09,9.25,1501.04
2007-10,9.06,1505.8
2007-11,8.86,1505.8
2007-12,8.66,1505.8
2008-01,8.76,1538.43
2008-02,8.86,1538.43
2008-03,8.76,1538.43
2008-04,8.56,1553.51
2008-05,8.66,1553.51
2008-06,8.66,1553.51
2008-07,8.66,1575.3
2008-08,8.46,1575.3
2008-09,8.36,1575.3
2008-10,8.26,1577.65
2008-11,8.16,1577.65
2008-12,8.06,1577.65
2009-01,7.96,1603.15
2009-02,7.96,1603.15
2009-03,7.96,1603.15
2009-04,7.96,1607.17
2009-05,7.96,1607.17
2009-06,7.96,1607.17
2009-07,7.96,1621.76
2009-08,7.96,1621.76
2009-09,7.86,1621.76
2009-10,7.86,1612.53
2009-11,7.86,1612.53
2009-12,7.86,1612.53
2010-01,7.76,1618.75
2010-02,7.76,1618.75
2010-03,7.86,1618.75
2010-04,7.86,1614.18
2010-05,7.86,1614.18
2010-06,7.86,1614.18
2010-07,7.96,1620.35
2010-08,7.86,1620.35
2010-09,7.86,1620.35
2010-10,7.86,1608.64
2010-11,7.86,1608.64
2010-12,7.86,1608.64
2011-01,7.86,1621.98
2011-02,7.86,1621.98
2011-03,7.96,1621.98
2011-04,7.96,1627.17
2011-05,8.06,1627.17
2011-06,8.16,1627.17
2011-07,8.26,1641.19
2011-08,8.36,1641.19
2011-09,8.26,1641.19
2011-10,8.26,1632.65
2011-11,8.26,1632.65
2011-12,8.16,1632.65
2012-01,8.06,1641.99
2012-02,8.06,1641.99
2012-03,8.06,1641.99
2012-04,8.06,1635.93
2012-05,7.96,1635.93
2012-06,7.96,1635.93
2012-07,7.96,1644.48
2012-08,7.96,1644.48
2012-09,7.76,1644.48
2012-10,7.66,1633.16
2012-11,7.66,1633.16
2012-12,7.56,1633.16
2013-01,7.46,1633.32
2013-02,7.46,1633.32
2013-03,7.36,1633.32
2013-04,7.26,1632.35
2013-05,7.26,1632.35
2013-06,7.26,1632.35
2013-07,7.26,1641.23
